id,host_id,host_name,host_since,host_response_rate,host_listings_count,host_total_listings_count,city,state,zipcode,country,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month,host_year,host_month,host_quarter,host_tenure_days
241032,956883,Maija,2011-08-11,100.0,3.0,3.0,seattle,WA,98119,United States,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer}",85.0,650.0,2200.0,0.0,0.0,2,5.0,1,365,207,95.0,moderate,4.07,2011,8,3,5297
953595,5177328,Andrea,2013-02-21,100.0,6.0,6.0,seattle,WA,98119,United States,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",150.0,1000.0,3000.0,100.0,40.0,1,0.0,2,90,43,96.0,strict,1.48,2013,2,1,4737
3308979,16708587,Jill,2014-06-12,100.0,2.0,2.0,seattle,WA,98119,United States,House,Entire home/apt,11,4.5,5.0,7.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",975.0,650.0,2200.0,1000.0,300.0,10,25.0,4,30,20,97.0,strict,1.15,2014,6,2,4261
7421966,9851441,Emily,2013-11-06,100.0,1.0,1.0,seattle,WA,98119,United States,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",100.0,650.0,2300.0,0.0,0.0,1,0.0,1,1125,0,96.0,flexible,0.0,2013,11,4,4479
278830,1452570,Emily,2011-11-29,100.0,2.0,2.0,seattle,WA,98119,United States,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",450.0,650.0,2200.0,700.0,125.0,6,15.0,1,1125,38,92.0,strict,0.89,2011,11,4,5187
5956968,326758,Andrew,2010-12-25,100.0,1.0,1.0,seattle,WA,98119,United States,House,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",Essentials,Shampoo}",120.0,800.0,2200.0,0.0,40.0,1,30.0,1,6,17,95.0,strict,2.45,2010,12,4,5526
1909058,2497928,Gary And Beth,2012-05-30,100.0,1.0,1.0,seattle,WA,98119,United States,House,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}",80.0,575.0,2200.0,150.0,0.0,1,10.0,3,14,58,99.0,moderate,2.46,2012,5,2,5004
856550,4016632,Jean-Marc,2012-10-30,100.0,5.0,5.0,seattle,WA,98119,United States,Cabin,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Essentials,Shampoo}",60.0,360.0,2200.0,150.0,25.0,1,0.0,2,7,173,97.0,strict,4.73,2012,10,4,4851
4948745,2166277,Aliza,2012-04-18,100.0,1.0,1.0,seattle,WA,98109,United States,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",90.0,500.0,1700.0,0.0,0.0,1,0.0,3,1125,8,97.0,strict,1.22,2012,4,2,5046
2493658,5177328,Andrea,2013-02-21,100.0,6.0,6.0,seattle,WA,98119,United States,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",150.0,1000.0,3000.0,100.0,40.0,1,0.0,2,365,32,97.0,strict,1.55,2013,2,1,4737
